,lat,long,leisure_points_in_0.01,shop_points_in_0.01,amenity_points_in_0.01,crossing_points_in_0.01,natural_points_in_0.01,sport_points_in_0.01,building_points_in_0.01,historic_points_in_0.01,tourism_points_in_0.01,office_points_in_0.01,bus_points_in_0.01,healthcare_points_in_0.01,hotel_points_in_0.01,parking_points_in_0.01,catering_points_in_0.01,study_points_in_0.01
1458,53.7185716,91.4548173,100,40,152,95,673,25,2213,2,9,22,6,6,8,46,8,33
1464,53.7172614,91.478828,84,8,39,25,142,16,1509,2,2,3,1,1,0,19,0,6
1465,53.71625,91.42940139999999,152,33,118,99,477,34,2068,9,6,10,9,3,1,48,9,32
1469,53.6972602,91.4042802,78,26,112,35,275,22,1872,2,1,2,3,1,0,66,1,25
1480,53.6928873,91.4276707,18,1,19,19,357,8,3097,0,3,0,0,4,0,1,0,9
1485,53.7169478,91.4200079,89,35,107,93,365,15,2333,0,0,4,3,2,0,56,1,18
1488,53.7172156,91.4407713,203,29,135,102,898,31,1664,12,12,11,8,4,6,28,21,38
1492,53.7438973,91.43172849999999,94,30,123,64,810,31,862,1,11,5,15,4,4,47,5,32
1495,53.717721,91.42715869999999,147,42,145,118,440,30,1842,9,3,8,8,3,1,82,5,27
1496,53.7377246,91.4181115,116,13,152,74,693,36,684,0,7,0,7,1,2,90,8,17
1497,53.7120048,91.4620825,29,28,52,45,284,10,2406,0,0,5,3,2,0,10,3,17
1499,53.7296491,91.4285724,150,32,209,111,612,33,1241,8,9,9,5,6,4,116,7,36
1500,53.7021065,91.4001352,70,24,99,24,308,18,902,2,0,3,3,1,0,60,1,23
1501,53.71237989999999,91.4632728,32,27,48,45,268,10,2325,0,0,5,4,3,0,10,1,15
1502,53.72974499999999,91.429419,144,32,218,115,662,23,1298,8,10,12,7,6,4,117,8,40
1504,53.7305767,91.4297252,140,31,224,106,721,24,1254,8,12,10,10,6,6,119,9,42
1516,53.71524580000001,91.42119300000002,95,34,102,96,359,17,2569,0,0,4,5,1,0,52,1,18
1519,53.7441586,91.43730959999999,63,29,107,41,554,18,1123,1,9,9,10,4,5,42,4,27
1520,53.69821049999999,91.39850249999999,63,20,100,28,284,16,1148,2,0,2,3,1,0,62,1,23
1524,53.7440544,91.43135910000001,97,32,127,64,851,31,836,1,12,4,14,4,4,49,5,34
1529,53.7147514,91.4277352,125,30,98,110,379,26,2359,9,4,7,9,3,1,44,3,22
1540,53.7191292,91.45423790000001,101,41,154,111,727,28,2181,2,9,22,6,5,8,44,10,33
1543,53.7027224,91.40561489999999,84,27,108,40,293,24,1498,2,1,3,3,1,0,68,1,19
1546,53.69613099999999,91.40469200000001,75,26,97,39,254,22,1996,2,1,1,3,0,0,59,1,20
1548,53.70207629999999,91.40617879999999,81,27,104,41,301,22,1612,2,1,3,3,1,0,62,1,19
1551,53.7341638,91.4408488,136,47,182,80,568,25,1654,2,14,20,11,6,7,78,15,32
1555,53.7261002,91.4516414,154,40,168,133,666,39,2215,4,10,15,8,5,8,58,13,34
1558,53.70122629999999,91.3968939,55,20,91,23,288,13,736,2,0,2,3,1,0,54,1,21
1565,53.7160953,91.41902019999999,94,38,107,88,407,15,2488,0,0,4,3,2,0,56,1,18
1566,53.7070478,91.4576992,18,11,11,14,216,7,2786,0,0,0,0,0,0,2,0,6
1567,53.7253591,91.44606780000001,233,45,216,116,809,52,1915,5,14,18,7,6,10,79,19,45
1569,53.7216877,91.4651106,104,34,107,84,427,25,2116,0,4,9,11,6,2,34,2,29
1570,53.7208096,91.41069329999999,67,18,65,43,393,17,1360,0,0,7,6,1,0,30,1,7
1576,53.7462939,91.42587069999999,89,21,105,68,664,34,450,1,7,0,11,4,0,49,5,21
1577,53.7273968,91.46234299999999,54,17,98,87,431,14,2224,1,2,11,11,9,2,28,2,19
1586,53.6988609,91.3978788,59,20,98,25,277,14,994,2,0,2,3,1,0,60,1,23
1587,53.7242057,91.4366979,240,39,247,131,784,41,1411,13,16,13,14,7,4,105,27,42
1588,53.71975080000001,91.43427559999999,214,34,197,115,654,39,1417,12,10,9,13,3,4,88,16,41
1589,53.7195701,91.4657811,96,34,93,79,376,21,2137,1,4,9,11,6,2,29,2,25
